iter	Passed	Remaining
0	3	14213
1	6	13798
2	8	10931
3	10	10194
4	13	10822
5	16	11254
6	20	11530
7	23	11744
8	26	11887
9	30	12034
10	33	12135
11	36	12221
12	40	12299
13	42	12131
14	44	11843
15	47	11927
16	51	12001
17	54	12073
18	57	12138
19	60	12022
20	63	12078
21	67	12136
22	71	12303
23	74	12334
24	76	12108
25	77	11877
26	80	11915
27	84	11952
28	87	11989
29	90	12027
30	94	12059
31	97	12094
32	100	12133
33	102	12011
34	106	12035
35	109	12067
36	112	12003
37	115	12032
38	118	12066
39	122	12091
40	125	12115
41	128	12137
42	132	12156
43	135	12178
44	138	12192
45	142	12232
46	144	12179
47	148	12200
48	151	12222
49	154	12238
50	158	12257
51	161	12272
52	164	12287
53	166	12183
54	170	12197
55	173	12212
56	175	12141
57	178	12155
58	182	12169
59	185	12182
60	188	12194
61	192	12205
62	195	12230
63	199	12244
64	200	12146
65	202	12076
66	205	12087
67	209	12098
68	212	12111
69	213	12001
70	217	12015
71	220	12030
72	223	12044
73	225	11984
74	229	11994
75	232	12006
76	235	12017
77	239	12026
78	240	11936
79	243	11947
80	247	11960
81	249	11906
82	252	11916
83	255	11927
84	259	11938
85	262	11949
86	265	11921
87	268	11929
88	269	11837
89	272	11852
90	276	11861
91	279	11872
92	282	11881
93	285	11857
94	287	11812
95	290	11823
96	294	11832
97	297	11841
98	300	11850
99	304	11858
100	307	11865
101	310	11874
102	314	11880
103	317	11888
104	320	11896
105	324	11903
106	327	11920
107	330	11899
108	333	11905
109	336	11913
110	340	11922
111	343	11928
112	347	11936
113	350	11943
114	353	11952
115	357	11960
116	360	11966
117	363	11972
118	367	11978
119	370	11983
120	373	11989
121	377	11994
122	379	11973
123	381	11936
124	385	11940
125	388	11946
126	391	11953
127	395	11961
128	398	11968
129	401	11947
130	404	11951
131	408	11957
132	409	11901
133	412	11903
134	415	11909
135	419	11913
136	422	11918
137	424	11869
138	427	11874
139	430	11877
140	434	11882
141	437	11887
142	440	11890
143	444	11894
144	447	11899
145	450	11904
146	454	11908
147	457	11913
148	461	11925
149	464	11929
150	468	11934
151	469	11883
152	472	11886
153	476	11890
154	479	11893
155	482	11898
156	486	11900
157	489	11904
158	492	11908
159	496	11911
160	499	11920
161	501	11880
162	504	11884
163	508	11887
164	511	11891
165	514	11892
166	518	11895
167	521	11896
168	524	11900
169	528	11902
170	530	11887
171	534	11890
172	537	11894
173	541	11897
174	544	11899
175	548	11910
176	551	11912
177	555	11918
178	558	11921
179	561	11922
180	565	11925
181	568	11927
182	571	11930
183	573	11897
184	576	11897
185	580	11901
186	583	11903
187	587	11906
188	590	11906
189	593	11907
190	597	11908
191	600	11909
192	603	11910
193	607	11911
194	610	11913
195	614	11920
196	616	11897
197	619	11898
198	623	11900
199	626	11901
200	629	11903
201	631	11867
202	634	11868
203	637	11870
204	641	11870
205	644	11871
206	647	11872
207	651	11873
208	654	11875
209	658	11877
210	661	11878
211	664	11880
212	668	11882
213	671	11883
214	675	11883
215	678	11882
216	681	11884
217	685	11885
218	688	11886
219	691	11886
220	695	11888
221	696	11860
222	700	11861
223	701	11831
224	705	11831
225	708	11833
226	711	11833
227	715	11834
228	718	11835
229	722	11836
230	725	11836
231	728	11836
232	732	11837
233	735	11838
234	738	11837
235	742	11837
236	745	11838
237	749	11840
238	752	11839
239	755	11839
240	759	11841
241	762	11842
242	765	11841
243	769	11840
244	772	11840
245	775	11840
246	779	11840
247	782	11839
248	785	11839
249	789	11838
250	792	11838
251	795	11836
252	799	11835
253	802	11835
254	805	11835
255	809	11834
256	812	11834
257	815	11834
258	819	11833
259	822	11831
260	825	11830
261	829	11829
262	832	11828
263	835	11827
264	839	11827
265	842	11826
266	845	11826
267	849	11826
268	852	11825
269	855	11824
270	857	11800
271	860	11800
272	864	11799
273	867	11799
274	870	11798
275	874	11796
276	876	11784
277	880	11784
278	883	11783
279	886	11781
280	890	11781
281	893	11780
282	896	11779
283	900	11778
284	903	11780
285	907	11780
286	910	11780
287	913	11779
288	917	11778
289	920	11776
290	922	11751
291	925	11750
292	928	11750
293	932	11749
294	935	11748
295	938	11746
296	942	11745
297	945	11744
298	948	11742
299	952	11741
300	955	11740
301	958	11740
302	962	11739
303	965	11738
304	968	11737
305	972	11735
306	975	11733
307	978	11732
308	982	11730
309	985	11729
310	988	11727
311	990	11706
312	993	11705
313	996	11703
314	1000	11701
315	1003	11699
316	1006	11697
317	1010	11695
318	1013	11694
319	1016	11693
320	1020	11692
321	1023	11693
322	1027	11692
323	1030	11690
324	1033	11688
325	1037	11687
326	1040	11686
327	1043	11684
328	1047	11682
329	1050	11680
330	1053	11679
331	1056	11677
332	1058	11653
333	1061	11651
334	1064	11649
335	1068	11647
336	1071	11645
337	1074	11644
338	1078	11642
339	1081	11640
340	1082	11618
341	1086	11616
342	1089	11614
343	1092	11613
344	1096	11611
345	1099	11610
346	1102	11608
347	1106	11608
348	1109	11609
349	1113	11608
350	1116	11607
351	1119	11605
352	1123	11603
353	1126	11601
354	1129	11600
355	1133	11599
356	1136	11597
357	1139	11595
358	1143	11594
359	1146	11592
360	1149	11590
361	1153	11590
362	1156	11588
363	1159	11586
364	1163	11585
365	1166	11584
366	1170	11582
367	1173	11580
368	1176	11578
369	1180	11576
370	1183	11575
371	1186	11573
372	1190	11571
373	1193	11570
374	1196	11568
375	1200	11566
376	1203	11564
377	1206	11562
378	1210	11560
379	1213	11558
380	1216	11557
381	1220	11555
382	1223	11553
383	1226	11551
384	1230	11550
385	1233	11548
386	1236	11546
387	1240	11544
388	1243	11542
389	1246	11540
390	1250	11540
391	1253	11541
392	1255	11524
393	1258	11522
394	1262	11519
395	1265	11518
396	1268	11516
397	1272	11515
398	1275	11513
399	1279	11511
400	1282	11509
401	1285	11507
402	1289	11506
403	1292	11504
404	1295	11502
405	1299	11500
406	1304	11515
407	1307	11513
408	1311	11512
409	1314	11510
