iter	RMSE
0	180.8477657
1	180.2194348
2	179.6103053
3	178.9600661
4	178.3452859
5	177.7497444
6	177.1601343
7	176.5586703
8	175.9314578
9	175.360004
10	174.756865
11	174.1079576
12	173.5518994
13	173.0355781
14	172.4543636
15	171.8733108
16	171.2659167
17	170.635604
18	170.0739507
19	169.524184
20	169.0090535
21	168.4468629
22	167.8266744
23	167.2373923
24	166.6739656
25	166.0869486
26	165.5232464
27	164.9927134
28	164.465317
29	163.8487326
30	163.2630015
31	162.7366602
32	162.2488927
33	161.7528511
34	161.2495928
35	160.6814344
36	160.2024784
37	159.6569753
38	159.0529729
39	158.5656282
40	158.0424689
41	157.5613735
42	157.0955405
43	156.6010602
44	156.114658
45	155.687313
46	155.1257318
47	154.6006586
48	154.1378565
49	153.6054837
50	153.15278
51	152.7014653
52	152.2365402
53	151.7240759
54	151.2693185
55	150.7537368
56	150.3279379
57	149.872683
58	149.4216784
59	148.9970542
60	148.5519804
61	148.0711922
62	147.6363129
63	147.1780186
64	146.7345828
65	146.3116655
66	145.8542789
67	145.4522274
68	145.0652476
69	144.6457434
70	144.1642765
71	143.786627
72	143.3735304
73	142.951902
74	142.5462269
75	142.0941808
76	141.6562302
77	141.1825391
78	140.7244025
79	140.3194688
80	139.878247
81	139.4907129
82	139.1273758
83	138.6724453
84	138.2857301
85	137.9330582
86	137.4874518
87	137.1275421
88	136.829725
89	136.463638
90	136.1222998
91	135.7781146
92	135.4299075
93	134.9707563
94	134.5938806
95	134.2328299
96	133.8253181
97	133.4422749
98	133.0982403
99	132.6877008
100	132.3044607
101	131.955949
102	131.6381851
103	131.2982806
104	130.9632946
105	130.533178
106	130.1302597
107	129.7855001
108	129.4320725
109	129.0815414
110	128.7659366
111	128.4495135
112	128.1226878
113	127.8051465
114	127.4280049
115	127.0495485
116	126.6525849
117	126.2720227
118	125.9651671
119	125.5926303
120	125.2800267
121	124.9221174
122	124.6247416
123	124.266453
124	123.9002558
125	123.5497179
126	123.1861998
127	122.8030825
128	122.4944062
129	122.1799655
130	121.8614005
131	121.5810833
132	121.2975586
133	121.0182807
134	120.7315475
135	120.4073882
136	120.1727581
137	119.8572044
138	119.542078
139	119.2425784
140	118.8736205
141	118.5450822
142	118.1908171
143	117.844962
144	117.4589303
145	117.2317708
146	116.9418489
147	116.6679192
148	116.4091043
149	116.1639079
150	115.884188
151	115.5069562
152	115.1906546
153	114.8927081
154	114.6557739
155	114.3121089
156	114.0299006
157	113.715343
158	113.4366344
159	113.1495839
160	112.8227169
161	112.5863382
162	112.3311174
163	112.07843
164	111.8462398
165	111.6165705
166	111.3851906
167	111.0939642
168	110.8754338
169	110.6213726
170	110.3580827
171	110.1085718
172	109.8976779
173	109.6006174
174	109.3608736
175	109.0540501
176	108.7768339
177	108.4833428
178	108.282993
179	107.9939992
180	107.6742044
181	107.4341205
182	107.2248114
183	107.0220841
184	106.7772005
185	106.5338966
186	106.3427148
187	106.1372339
188	105.8493851
189	105.5617956
190	105.3069177
191	105.1100348
192	104.8273485
193	104.6496619
194	104.3583922
195	104.0858395
196	103.7984613
197	103.5391096
198	103.2385188
199	103.0552227
200	102.7944516
201	102.5250077
202	102.2803004
203	102.0926387
204	101.9132261
205	101.7494508
206	101.4913934
207	101.268673
208	100.9971277
209	100.738757
210	100.4410117
211	100.1760673
212	99.90323025
213	99.74360517
214	99.58964605
215	99.33169265
216	99.1657103
217	98.98412927
218	98.81420263
219	98.62429536
220	98.37796687
221	98.1146325
222	97.87691836
223	97.71707598
224	97.57359883
225	97.37725373
226	97.23026141
227	97.10239892
228	96.88012274
229	96.70600995
230	96.47900267
231	96.32829387
232	96.07885153
233	95.84528429
234	95.58427516
235	95.34853784
236	95.15262139
237	95.00499591
238	94.79251232
239	94.58495128
240	94.40617264
241	94.25383551
242	94.02445428
243	93.81276075
244	93.68005248
245	93.55473142
246	93.41569779
247	93.29732258
248	93.11113915
249	92.99524581
250	92.79656849
251	92.66570099
252	92.4714068
253	92.27950572
254	92.1479039
255	92.02128985
256	91.80863441
257	91.64629697
258	91.41183485
259	91.19344212
260	90.99562587
261	90.89146279
262	90.67258159
263	90.54827194
264	90.43085651
265	90.20237005
266	90.07511697
267	89.95661934
268	89.78487705
269	89.58136135
270	89.47266184
271	89.29135282
272	89.10486584
273	88.92047741
274	88.79370971
275	88.60683885
276	88.45334639
277	88.26574974
278	88.07485934
279	87.96225665
280	87.8550984
281	87.68376304
282	87.57682519
283	87.40501003
284	87.24874791
285	87.15828045
286	87.0531188
287	86.92406639
288	86.73286819
289	86.6366165
290	86.44984581
291	86.26833303
292	86.0932104
293	85.90965034
294	85.83811438
295	85.65140961
296	85.47551738
297	85.27275307
298	85.14338915
299	85.05336616
300	84.8653679
