iter	Passed	Remaining
0	98	589258
1	193	578902
2	264	528024
3	352	528250
4	380	456762
5	461	460615
6	549	470204
7	634	475042
8	710	472926
9	797	477837
10	882	480265
11	895	446982
12	925	426352
13	1013	433382
14	1101	439539
15	1187	444159
16	1271	447449
17	1357	451013
18	1445	454928
19	1534	458947
20	1622	461849
21	1703	462927
22	1785	464045
23	1874	466820
24	1966	469935
25	1984	455952
26	2066	457048
27	2136	455652
28	2225	458148
29	2313	460447
30	2395	461248
31	2477	462083
32	2555	462116
33	2637	462744
34	2723	464170
35	2813	466024
36	2902	467842
37	2969	465826
38	3052	466509
39	3134	466968
40	3155	458606
41	3241	459887
42	3311	458771
43	3393	459393
44	3477	460247
45	3557	460508
46	3645	461694
47	3734	463033
48	3822	464235
49	3909	465210
50	3995	466053
51	4081	466815
52	4163	467216
53	4250	468031
54	4338	468978
55	4424	469589
56	4504	469668
57	4586	469862
58	4674	470709
59	4761	471432
60	4843	471545
61	4930	472213
62	5017	472809
63	5060	469348
64	5142	469562
65	5232	470448
66	5313	470554
67	5396	470723
68	5484	471451
69	5571	471971
70	5658	472496
71	5747	473200
72	5810	471795
73	5897	472270
74	5977	472202
75	6064	472729
76	6152	473263
77	6242	473915
78	6329	474396
79	6372	471534
80	6461	472166
81	6542	472140
82	6626	472385
83	6720	473288
84	6801	473304
85	6891	473889
86	6935	471397
87	7022	471785
88	7112	472360
89	7208	473342
90	7290	473432
91	7374	473593
92	7453	473423
93	7541	473827
94	7617	473472
95	7706	473937
96	7788	473965
97	7874	474249
98	7962	474601
99	8049	474904
100	8143	475600
101	8173	472642
102	8259	472870
103	8276	469214
104	8364	469584
105	8441	469366
106	8522	469374
107	8592	468780
108	8678	469041
109	8767	469473
110	8854	469758
111	8934	469704
112	9019	469888
113	9109	470317
114	9190	470298
115	9278	470622
116	9366	470946
117	9453	471235
118	9541	471520
119	9631	471938
120	9720	472268
121	9808	472586
122	9897	472905
123	9978	472869
124	10066	473117
125	10143	472882
126	10232	473171
127	10314	473179
128	10400	473339
129	10489	473655
130	10578	473952
131	10656	473738
132	10728	473272
133	10793	472480
134	10872	472355
135	10962	472665
136	11044	472662
137	11084	470853
138	11171	471072
139	11260	471322
140	11341	471268
141	11363	468787
142	11450	469003
143	11535	469125
144	11619	469189
145	11708	469448
146	11791	469498
147	11879	469727
148	11960	469668
149	12046	469810
150	12136	470103
151	12225	470364
152	12312	470517
153	12351	468876
154	12437	469005
155	12521	469057
156	12597	468839
157	12681	468906
158	12745	468221
159	12834	468444
160	12923	468682
161	13008	468771
162	13091	468807
163	13178	468952
164	13257	468837
165	13339	468819
166	13421	468783
167	13502	468734
168	13579	468526
169	13667	468726
170	13753	468819
171	13849	469255
172	13937	469457
173	14029	469741
174	14112	469748
175	14200	469900
176	14288	470081
177	14368	469975
178	14451	469948
179	14548	470405
180	14589	469055
181	14672	469027
182	14755	469018
183	14841	469105
184	14923	469082
185	15005	469030
186	15095	469238
187	15181	469335
188	15263	469300
189	15291	467604
190	15377	467692
191	15465	467832
192	15551	467907
193	15632	467851
194	15719	467945
195	15804	467992
196	15880	467796
197	15954	467524
198	16042	467652
199	16118	467442
200	16206	467573
201	16295	467728
202	16377	467684
203	16465	467811
204	16553	467947
205	16643	468127
206	16733	468300
207	16820	468381
208	16908	468506
209	16992	468511
210	17083	468694
211	17172	468847
212	17268	469164
213	17351	469130
214	17442	469334
215	17532	469469
216	17623	469656
217	17686	469096
218	17767	469025
219	17848	468917
220	17939	469111
221	18029	469255
222	18119	469394
223	18211	469608
224	18300	469716
225	18396	470005
226	18478	469949
227	18549	469593
228	18631	469532
229	18712	469449
230	18796	469425
231	18874	469261
232	18962	469332
233	19038	469125
234	19125	469193
235	19212	469228
236	19297	469251
237	19378	469147
238	19454	468942
239	19512	468296
240	19592	468191
241	19682	468310
242	19768	468352
243	19850	468279
244	19933	468240
245	20015	468170
246	20032	466594
247	20121	466683
248	20161	465654
249	20248	465720
250	20334	465750
251	20422	465821
252	20502	465717
253	20584	465667
254	20671	465726
255	20748	465553
256	20830	465488
257	20913	465441
258	21003	465564
259	21087	465551
260	21178	465679
261	21269	465825
262	21352	465775
263	21439	465828
264	21537	466111
265	21625	466165
266	21712	466219
267	21796	466182
268	21888	466331
269	21975	466366
270	22067	466509
271	22156	466587
272	22241	466590
273	22327	466586
274	22410	466540
275	22489	466412
276	22573	466375
277	22655	466314
278	22744	466378
279	22833	466454
280	22923	466543
281	23006	466493
282	23048	465621
283	23135	465650
284	23230	465836
285	23320	465916
286	23396	465738
287	23486	465824
288	23575	465874
289	23670	466056
290	23756	466076
291	23834	465920
292	23918	465885
293	24006	465926
294	24095	465976
295	24185	466068
296	24276	466163
297	24361	466135
298	24449	466170
299	24533	466132
300	24625	466239
301	24720	466412
302	24802	466341
303	24845	465528
304	24923	465366
305	25012	465420
306	25090	465285
307	25172	465205
308	25255	465138
309	25343	465176
310	25432	465223
311	25518	465227
312	25606	465248
313	25692	465254
314	25774	465176
315	25857	465100
316	25939	465032
317	26020	464937
318	26109	464975
319	26197	464997
320	26283	465005
321	26377	465120
322	26460	465060
323	26547	465075
324	26635	465103
325	26723	465125
326	26805	465035
327	26892	465040
328	26975	464978
329	27065	465029
330	27153	465056
331	27249	465216
332	27340	465286
333	27431	465356
334	27519	465365
335	27608	465404
336	27697	465426
337	27786	465471
338	27870	465412
339	27953	465338
340	28030	465169
341	28120	465226
342	28206	465207
343	28284	465045
344	28361	464881
345	28444	464813
346	28539	464931
347	28625	464924
348	28712	464909
349	28800	464927
350	28890	464966
351	28987	465121
352	29070	465046
353	29162	465116
354	29245	465050
355	29271	464064
356	29355	464016
357	29445	464054
358	29533	464069
359	29624	464121
360	29709	464077
361	29794	464032
362	29882	464043
363	29974	464117
364	30057	464045
365	30139	463954
366	30228	463963
367	30310	463883
368	30397	463875
369	30448	463311
370	30536	463317
371	30626	463350
372	30713	463331
373	30791	463189
374	30851	462777
375	30940	462792
376	31022	462703
377	31107	462662
378	31197	462700
379	31284	462683
380	31366	462592
381	31454	462602
382	31552	462741
383	31634	462653
384	31721	462632
385	31806	462598
386	31896	462617
387	31983	462602
388	32071	462602
389	32157	462571
390	32239	462486
391	32319	462361
392	32409	462391
393	32492	462311
394	32551	461903
395	32649	462045
396	32737	462033
397	32819	461940
398	32897	461802
399	32986	461808
400	33075	461812
401	33165	461842
402	33246	461732
403	33337	461774
404	33429	461821
405	33516	461807
406	33593	461639
407	33680	461625
408	33770	461641
409	33856	461609
410	33942	461563
411	34033	461598
412	34124	461629
413	34222	461757
414	34304	461658
415	34399	461747
416	34470	461513
417	34561	461533
418	34649	461522
419	34729	461411
420	34815	461370
421	34905	461382
422	34999	461452
423	35084	461391
424	35167	461320
425	35256	461318
426	35348	461345
427	35435	461325
428	35529	461389
429	35614	461327
430	35706	461369
431	35792	461320
432	35889	461421
433	35970	461319
434	36047	461155
435	36137	461169
436	36226	461158
437	36308	461066
438	36393	461009
439	36475	460920
440	36561	460871
441	36646	460816
442	36730	460747
443	36762	460026
444	36851	460024
445	36940	460011
446	37028	459997
447	37116	459974
448	37193	459823
449	37282	459823
450	37371	459813
451	37456	459754
452	37545	459751
453	37630	459688
454	37708	459541
455	37787	459418
456	37864	459263
457	37952	459236
458	38039	459208
459	38123	459142
460	38206	459062
461	38297	459075
462	38374	458921
463	38463	458906
464	38552	458896
465	38629	458748
466	38708	458622
467	38798	458620
468	38890	458638
469	38905	457756
470	38991	457713
